,id,salaryusd,primarydatabase,yearswiththisdatabase,employmentstatus,jobtitle,managestaff,yearswiththistypeofjob,otherpeopleonyourteam,education,educationiscomputerrelated,certifications,hoursworkedperweek,telecommutedaysperweek,employmentsector,region,averagesalaryusdbins
5740,5778,4423,Microsoft SQL Server,2,Full time employee,DBA,Yes,2,More than 5,Bachelors (4 years),Yes,"No, I never have",54,"None, or less than 1 day per week",Private business,Asia,USD5000
5743,5781,4420,Microsoft SQL Server,1,Full time employee,DBA,No,1,2,Bachelors (4 years),Yes,"No, I never have",30,"None, or less than 1 day per week",Private business,Asia,USD5000
5745,5783,5500,Microsoft SQL Server,2,Full time employee,DBA,No,2,More than 5,Bachelors (4 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,Asia,USD5000
5749,5787,1600,Microsoft SQL Server,6,Full time employee,DBA,Yes,6,More than 5,Masters,No,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,Asia,USD5000
5751,5789,7515,Microsoft SQL Server,4,Full time employee,DBA,No,4,1,Bachelors (4 years),,"No, I never have",10,"None, or less than 1 day per week",Private business,Asia,USD5000
5756,5794,7650,Microsoft SQL Server,8,Full time employee,DBA,Yes,8,3,Bachelors (4 years),Yes,"No, I never have",48,"None, or less than 1 day per week",Government,Asia,USD5000
5758,5796,4118,Microsoft SQL Server,3,Full time employee,DBA,No,2,4,Bachelors (4 years),Yes,"No, I never have",48,"None, or less than 1 day per week",Private business,Asia,USD5000
5768,5806,8500,Microsoft SQL Server,3,Full time employee,Analyst,No,3,More than 5,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Asia,USD5000
5769,5807,10000,MySQL/MariaDB,5,Full time employee,DBA,Yes,5,1,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,Asia,USD5000
5770,5808,3000,Microsoft SQL Server,3,Full time employee,Developer,No,5,More than 5,None (no degree completed),No,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Asia,USD5000
5784,5822,1200,Microsoft SQL Server,2,Full time employee,DBA,No,5,2,Associates (2 years),No,"No, I never have",45,"None, or less than 1 day per week",Private business,Asia,USD5000
5792,5830,5214,Microsoft SQL Server,3,Full time employee,DBA,Yes,3,3,Associates (2 years),Yes,"Yes, and they're currently valid",90,1,Private business,Asia,USD5000
5799,5837,2246,Microsoft SQL Server,2,Full time employee,Developer,Yes,2,4,Masters,Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Asia,USD5000
5812,5851,8230,Microsoft SQL Server,5,Full time employee,DBA,No,5,None,Bachelors (4 years),No,"No, I never have",76,"None, or less than 1 day per week",Private business,Asia,USD5000
5817,5857,5000,Microsoft SQL Server,1,Full time employee,Analyst,No,0,3,Bachelors (4 years),No,"No, I never have",50,"None, or less than 1 day per week",Private business,Asia,USD5000
5818,5858,9360,Microsoft SQL Server,3,Full time employee,DBA,No,1,1,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,Asia,USD5000
5819,5859,10000,Microsoft SQL Server,4,Full time employee,DBA,No,4,More than 5,Bachelors (4 years),Yes,"No, I never have",49,"None, or less than 1 day per week",Private business,Asia,USD5000
5820,5860,6260,Microsoft SQL Server,2,Full time employee,DBA,No,2,1,Masters,Yes,"No, I never have",40,5 or more,Private business,Asia,USD5000
5837,5877,1967,Microsoft SQL Server,1,Full time employee,Manager,Yes,1,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",50,5 or more,Private business,Western Europe,USD5000
5840,5880,4200,Microsoft SQL Server,10,Full time employee,Developer,No,10,More than 5,Masters,Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Western Europe,USD5000
5863,5903,1467,Microsoft SQL Server,4,Full time employee,Developer,No,2,2,Associates (2 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Africa,USD5000
5876,5916,2000,Microsoft SQL Server,20,Full time employee,DBA,No,4,None,Associates (2 years),Yes,"Yes, and they're currently valid",50,2,Private business,Africa,USD5000
5878,5918,6516.5,Microsoft SQL Server,0,Full time employee,DBA,No,0,3,None (no degree completed),,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Africa,USD5000
5885,5925,4000,Microsoft SQL Server,21,Full time employee,Developer,No,3,1,None (no degree completed),,"No, I never have",55,5 or more,Private business,Africa,USD5000
5938,5979,6700,Microsoft SQL Server,10,Full time employee,DBA,No,10,4,Bachelors (4 years),Yes,"No, I never have",40,1,Private business,Western Europe,USD5000
6003,6044,7800,Microsoft SQL Server,12,Full time employee,DBA,No,6,3,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Private business,Western Europe,USD5000
6090,6131,1600,Microsoft SQL Server,1,Full time employee,DBA,No,1,None,None (no degree completed),Yes,"No, I never have",50,"None, or less than 1 day per week",Government,Latin America,USD5000
6094,6135,8300,Microsoft SQL Server,10,Full time employee,DBA,No,5,None,Masters,Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Government,Eastern Europe,USD5000
6101,6142,1050,Microsoft SQL Server,4,Full time employee,Developer,No,4,More than 5,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD5000
6103,6144,8000,Microsoft SQL Server,13,Full time employee,Developer,No,6,1,Masters,Yes,"No, I never have",50,"None, or less than 1 day per week",Private business,Eastern Europe,USD5000
6107,6148,10000,Oracle,5,Full time employee,DBA,No,8,4,Masters,Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD5000
6113,6154,1100,Microsoft SQL Server,2,Full time employee,Developer,No,0,1,Masters,Yes,"No, I never have",38,"None, or less than 1 day per week",Government,Eastern Europe,USD5000
6178,6221,6200,Microsoft SQL Server,15,Full time employee,Developer,No,11,More than 5,Bachelors (4 years),Yes,"Yes, but they expired",37,"None, or less than 1 day per week",Private business,Western Europe,USD5000
6187,6230,9100,Microsoft SQL Server,8,Full time employee,DBA,No,0,3,Associates (2 years),Yes,"No, I never have",37,"None, or less than 1 day per week",Private business,Western Europe,USD5000
6213,6257,9100,Microsoft SQL Server,20,Full time employee,DBA,No,20,None,Bachelors (4 years),Yes,"Yes, but they expired",37,1,Private business,Western Europe,USD5000
6289,6333,9000,Microsoft SQL Server,2,Full time employee,DBA,No,2,4,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Latin America,USD5000
6315,6359,9900,Microsoft SQL Server,7,Full time employee,DBA,No,7,2,Associates (2 years),Yes,"Yes, and they're currently valid",44,"None, or less than 1 day per week",Private business,Latin America,USD5000
6319,6363,5800,Microsoft SQL Server,3,Full time employee,Developer,No,3,2,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Latin America,USD5000
6349,6393,3580,Oracle,6,Full time employee,DBA,No,2,2,Masters,Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD5000
6393,6437,1250,Microsoft SQL Server,6,Full time employee,Developer,Yes,6,More than 5,Bachelors (4 years),No,"No, I never have",50,"None, or less than 1 day per week",Private business,Middle East,USD5000
6490,6535,8400,Microsoft SQL Server,15,Full time employee,Developer,No,10,1,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD5000
6559,6604,10000,Oracle,15,Full time employee,DBA,No,15,3,Masters,No,"No, I never have",50,"None, or less than 1 day per week",Government,Eastern Europe,USD5000
6564,6609,8000,Microsoft SQL Server,7,Full time employee,Engineer,No,7,1,Bachelors (4 years),Yes,"Yes, but they expired",40,5 or more,Government,Eastern Europe,USD5000
6572,6617,8200,Microsoft SQL Server,8,Full time employee,DBA,Yes,12,2,Masters,No,"No, I never have",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD5000
6595,6641,7473,Microsoft SQL Server,3,Full time employee,Developer,No,3,5,Bachelors (4 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,Asia,USD5000
6612,6658,3000,Microsoft SQL Server,2,Full time employee,DBA,Yes,2,None,Associates (2 years),Yes,"No, I never have",48,"None, or less than 1 day per week",Private business,Middle East,USD5000
6614,6660,7500,Microsoft SQL Server,1,Independent Consultant/Freelancer,Engineer,No,1,1,Bachelors (4 years),Yes,"Yes, and they're currently valid",30,2,Government,Latin America,USD5000
6645,6691,7500,Microsoft SQL Server,4,Full time employee,Developer,Yes,8,2,Associates (2 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Africa,USD5000
129,131,12300,Microsoft SQL Server,16,Full time employee,DBA,No,4,None,Associates (2 years),No,"No, I never have",37,1,Private business,North America,USD15000
1083,1089,11500,Microsoft SQL Server,10,Full time employee,DBA,No,6,4,Associates (2 years),Yes,"Yes, but they expired",50,1,Private business,North America,USD15000
4030,4062,11100,Microsoft SQL Server,6,Full time employee,Developer,No,5,4,Bachelors (4 years),Yes,"No, I never have",50,"None, or less than 1 day per week",Private business,North America,USD15000
4120,4152,11800,Microsoft SQL Server,19,Full time employee,Architect,Yes,10,None,None (no degree completed),,"No, I never have",40,2,Private business,North America,USD15000
4738,4772,17000,Microsoft SQL Server,10,Full time employee,DBA,Yes,1,3,Doctorate/PhD,No,"Yes, but they expired",40,1,Private business,Western Europe,USD15000
4761,4795,15000,Microsoft SQL Server,1,Full time employee,Analyst,No,1,More than 5,Bachelors (4 years),Yes,"No, I never have",38,4,"Education (K-12, college, university)",Western Europe,USD15000
5483,5521,17500,Microsoft SQL Server,2,Full time employee,Engineer,No,2,None,Masters,No,"Yes, and they're currently valid",40,1,Private business,Eastern Europe,USD15000
5488,5526,18000,Microsoft SQL Server,4,Full time employee,DBA,Yes,4,More than 5,Masters,Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
5489,5527,18200,Microsoft SQL Server,6,Full time employee,DBA,Yes,6,1,Masters,Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
5491,5529,14500,Microsoft SQL Server,6,Full time employee,Developer,No,6,1,Masters,Yes,"Yes, but they expired",46,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
5501,5539,17667,Microsoft SQL Server,3,Full time employee,DBA,No,3,None,Masters,No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
5505,5543,19000,Microsoft SQL Server,3,Full time employee,DBA,Yes,2,None,Associates (2 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
5545,5583,12000,Microsoft SQL Server,6,Full time employee,DBA,No,10,None,Masters,Yes,"No, I never have",42,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
5547,5585,18000,Microsoft SQL Server,5,Full time employee,DBA,No,3,1,Bachelors (4 years),No,"No, I never have",45,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
5725,5763,15000,Microsoft SQL Server,6,Full time employee,DBA,No,3,More than 5,Masters,No,"No, I never have",30,"None, or less than 1 day per week",Private business,Asia,USD15000
5726,5764,12000,Microsoft SQL Server,5,Full time employee,DBA,No,5,4,Masters,,"No, I never have",45,3,Private business,Asia,USD15000
5727,5765,16666,Oracle,7,Full time employee,DBA,No,7,More than 5,Bachelors (4 years),Yes,"No, I never have",40,1,Private business,Asia,USD15000
5729,5767,15000,Microsoft SQL Server,6,Full time employee,DBA,Yes,3,4,Bachelors (4 years),No,"Yes, and they're currently valid",35,1,Private business,Asia,USD15000
5730,5768,17647,Microsoft SQL Server,7,Full time employee,DBA,No,7,More than 5,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Asia,USD15000
5732,5770,14000,Microsoft SQL Server,1,Full time employee,DBA,No,1,2,Masters,Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,Asia,USD15000
5733,5771,12900,Microsoft SQL Server,3,Full time employee,DBA,No,1,More than 5,Bachelors (4 years),Yes,"No, I never have",8,5 or more,Private business,Asia,USD15000
5738,5776,12000,Microsoft SQL Server,5,Full time employee,DBA,No,1,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,5 or more,Private business,Asia,USD15000
5741,5779,11300,Microsoft SQL Server,4,Full time employee,DBA,Yes,1,More than 5,Masters,Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,Asia,USD15000
5746,5784,14000,Microsoft SQL Server,1,Full time employee,DBA,Yes,1,1,Masters,No,"No, I never have",60,5 or more,Private business,Asia,USD15000
5747,5785,11000,Microsoft SQL Server,5,Full time employee,DBA,No,5,3,Bachelors (4 years),Yes,"Yes, but they expired",45,"None, or less than 1 day per week",Private business,Asia,USD15000
5748,5786,18000,Microsoft SQL Server,10,Full time employee,DBA,Yes,2,5,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Asia,USD15000
5752,5790,11119,Microsoft SQL Server,4,Full time employee,DBA,No,4,More than 5,Bachelors (4 years),No,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,Asia,USD15000
5754,5792,11000,Microsoft SQL Server,7,Full time employee,DBA,Yes,3,More than 5,Masters,Yes,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,Asia,USD15000
5759,5797,14000,Microsoft SQL Server,6,Full time employee,Analyst,Yes,6,2,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Private business,Asia,USD15000
5760,5798,15500,Microsoft SQL Server,10,Full time employee,DBA,Yes,3,5,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Asia,USD15000
5761,5799,20000,Microsoft SQL Server,4,Full time employee,DBA,No,0,More than 5,Masters,Yes,"No, I never have",48,1,Private business,Asia,USD15000
5762,5800,17647,Microsoft SQL Server,8,Full time employee,DBA,Yes,9,4,Masters,Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,Asia,USD15000
5764,5802,11000,Microsoft SQL Server,5,Full time employee,DBA,No,5,4,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,Asia,USD15000
5765,5803,13455,Microsoft SQL Server,8,Full time employee,DBA,Yes,8,2,Masters,No,"No, I never have",40,"None, or less than 1 day per week",Private business,Asia,USD15000
5767,5805,13000,Microsoft SQL Server,4,Full time employee,DBA,No,1,5,Masters,Yes,"No, I never have",43,"None, or less than 1 day per week",Private business,Asia,USD15000
5772,5810,19085,Microsoft SQL Server,6,Full time employee,DBA,No,3,More than 5,Bachelors (4 years),No,"Yes, and they're currently valid",45,1,Private business,Asia,USD15000
5773,5811,20000,Microsoft SQL Server,8,Full time employee,DBA,Yes,8,More than 5,Masters,Yes,"Yes, but they expired",60,"None, or less than 1 day per week",Private business,Asia,USD15000
5777,5815,20000,Microsoft SQL Server,6,Full time employee,DBA,Yes,4,None,Bachelors (4 years),No,"Yes, but they expired",60,"None, or less than 1 day per week",Private business,Asia,USD15000
5779,5817,11029,Microsoft SQL Server,6,Full time employee,DBA,Yes,6,None,Masters,Yes,"Yes, but they expired",50,1,Private business,Asia,USD15000
5780,5818,11014,Microsoft SQL Server,4,Full time employee,DBA,No,5,More than 5,Bachelors (4 years),Yes,"No, I never have",38,"None, or less than 1 day per week",Private business,Asia,USD15000
5781,5819,18000,Microsoft SQL Server,8,Full time employee,Developer,Yes,5,3,Masters,Yes,"No, I never have",45,1,Private business,Asia,USD15000
5783,5821,10256,Microsoft SQL Server,6,Full time employee,DBA,No,6,3,Masters,Yes,"No, I never have",43,5 or more,Private business,Asia,USD15000
5785,5823,10900,Microsoft SQL Server,1,Full time employee,DBA,No,2,2,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Private business,Asia,USD15000
5788,5826,15000,Microsoft SQL Server,6,Full time employee,Developer,No,1,3,Bachelors (4 years),No,"No, I never have",50,"None, or less than 1 day per week",Private business,Asia,USD15000
5793,5831,12416,Microsoft SQL Server,6,Full time employee,DBA,Yes,6,None,Masters,Yes,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,Asia,USD15000
5794,5832,12500,Microsoft SQL Server,6,Full time employee,DBA,No,7,1,Bachelors (4 years),Yes,"Yes, and they're currently valid",9,"None, or less than 1 day per week",Private business,Asia,USD15000
5795,5833,12400,Microsoft SQL Server,7,Full time employee,DBA,No,2,1,Masters,Yes,"Yes, but they expired",50,"None, or less than 1 day per week",Private business,Asia,USD15000
5797,5835,16700,Microsoft SQL Server,7,Full time employee,DBA,No,2,2,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Private business,Asia,USD15000
5798,5836,18900,Microsoft SQL Server,8,Full time employee,Developer,Yes,4,2,Bachelors (4 years),Yes,"No, I never have",50,5 or more,Private business,Asia,USD15000
5801,5839,15000,Microsoft SQL Server,8,Full time employee,DBA,No,2,More than 5,Bachelors (4 years),Yes,"No, I never have",40,5 or more,Private business,Asia,USD15000
5804,5842,17000,Microsoft SQL Server,5,Full time employee,Developer,Yes,5,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Asia,USD15000
5807,5845,15600,Microsoft SQL Server,9,Full time employee,DBA,Yes,9,5,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Asia,USD15000
5810,5848,12500,Microsoft SQL Server,10,Full time employee,Engineer,Yes,10,None,Bachelors (4 years),Yes,"Yes, but they expired",54,"None, or less than 1 day per week",Private business,Asia,USD15000
5811,5849,16000,Microsoft SQL Server,12,Full time employee,Developer,No,12,1,Bachelors (4 years),No,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Asia,USD15000
5815,5855,16000,Microsoft SQL Server,4,Full time employee,DBA,Yes,3,More than 5,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Private business,Asia,USD15000
5821,5861,14139,Microsoft SQL Server,8,Full time employee,Developer,Yes,7,2,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Asia,USD15000
5823,5863,18000,Microsoft SQL Server,6,Full time employee,DBA,No,6,More than 5,Bachelors (4 years),No,"No, I never have",45,5 or more,Private business,Asia,USD15000
5826,5866,11800,Microsoft SQL Server,8,Full time employee,DBA,Yes,8,2,Masters,Yes,"Yes, but they expired",47,"None, or less than 1 day per week",Private business,Asia,USD15000
5827,5867,16000,Microsoft SQL Server,7,Full time employee,Developer,No,2,3,Masters,Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,Asia,USD15000
5834,5874,20000,Microsoft SQL Server,18,Full time employee,DBA,No,5,None,Masters,No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Western Europe,USD15000
5839,5879,19600,Microsoft SQL Server,6,Full time employee,DBA,No,6,3,None (no degree completed),Yes,"Yes, but they expired",50,"None, or less than 1 day per week",Private business,Western Europe,USD15000
5899,5939,17621,Microsoft SQL Server,6,Full time employee,Developer,Yes,2,1,Masters,Yes,"No, I never have",50,"None, or less than 1 day per week",Private business,Western Europe,USD15000
5907,5947,13500,Microsoft SQL Server,3,Full time employee,Developer,Yes,3,More than 5,Bachelors (4 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,Western Europe,USD15000
6083,6124,13500,Microsoft SQL Server,2,Full time employee,DBA,No,2,1,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Private business,Latin America,USD15000
6087,6128,17250,Microsoft SQL Server,7,Full time employee,DBA,No,7,1,Bachelors (4 years),Yes,"Yes, but they expired",40,1,Private business,Latin America,USD15000
6095,6136,12000,Microsoft SQL Server,5,Full time employee,Developer,Yes,6,2,Masters,No,"No, I never have",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
6096,6137,20000,Microsoft SQL Server,4,Full time employee,Engineer,No,1,4,Masters,Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Government,Eastern Europe,USD15000
6100,6141,20000,Microsoft SQL Server,3,Full time employee,DBA,Yes,3,None,Masters,Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
6102,6143,12600,Microsoft SQL Server,4,Full time employee,Developer,No,4,More than 5,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
6104,6145,20000,Oracle,15,Independent Consultant/Freelancer,DBA,No,8,1,Masters,Yes,"Yes, and they're currently valid",40,4,Private business,Eastern Europe,USD15000
6117,6158,16000,Microsoft SQL Server,5,Full time employee,DBA,No,1,None,None (no degree completed),,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
6128,6169,16500,Microsoft SQL Server,6,Full time employee,Developer,No,7,1,Bachelors (4 years),No,"No, I never have",45,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
6284,6328,20000,Microsoft SQL Server,10,Full time employee,DBA,Yes,3,None,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Government,Latin America,USD15000
6290,6334,18352,Microsoft SQL Server,2,Full time employee,DBA,No,2,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",50,1,Private business,Latin America,USD15000
6292,6336,13000,Microsoft SQL Server,3,Full time employee,DBA,No,2,More than 5,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Latin America,USD15000
6308,6352,18000,Microsoft SQL Server,7,Full time employee,DBA,No,1,1,Associates (2 years),No,"Yes, and they're currently valid",40,1,Private business,Latin America,USD15000
6320,6364,12000,Microsoft SQL Server,2,Full time employee,DBA,No,1,3,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Latin America,USD15000
6321,6365,20000,Microsoft SQL Server,10,Full time employee,Developer,No,14,1,Associates (2 years),Yes,"No, I never have",44,3,Private business,Latin America,USD15000
6323,6367,20000,Microsoft SQL Server,10,Full time employee,Developer,No,10,2,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
6325,6369,13000,Microsoft SQL Server,5,Full time employee,DBA,No,3,None,Masters,Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
6330,6374,15000,Microsoft SQL Server,1,Full time employee,DBA,No,1,2,None (no degree completed),,"No, I never have",40,1,Private business,Eastern Europe,USD15000
6342,6386,12000,Microsoft SQL Server,16,Full time employee,Developer,No,0,1,Doctorate/PhD,No,"Yes, but they expired",20,1,Private business,Eastern Europe,USD15000
6346,6390,20000,Microsoft SQL Server,5,Full time employee,Developer,No,3,1,Masters,Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
6347,6391,18000,Microsoft SQL Server,2,Full time employee,DBA,No,2,2,Masters,No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
6365,6409,15000,Microsoft SQL Server,12,Full time employee,Developer,No,10,4,Bachelors (4 years),,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
6370,6414,16000,Microsoft SQL Server,2,Full time employee,DBA,No,2,1,None (no degree completed),No,"Yes, and they're currently valid",50,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
6383,6427,15500,Microsoft SQL Server,4,Full time employee,Developer,No,4,More than 5,Associates (2 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
6389,6433,20000,Microsoft SQL Server,5,Full time employee,Developer,Yes,5,1,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
6394,6438,12000,Microsoft SQL Server,2,Full time employee,DBA,No,2,1,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,2,Private business,Middle East,USD15000
6395,6439,20000,Microsoft SQL Server,10,Full time employee,Developer,No,10,None,Bachelors (4 years),Yes,"Yes, but they expired",50,"None, or less than 1 day per week",Private business,Middle East,USD15000
6400,6444,18000,Microsoft SQL Server,7,Full time employee,Developer,Yes,3,2,Bachelors (4 years),No,"No, I never have",48,"None, or less than 1 day per week",Private business,Middle East,USD15000
6405,6449,17500,Microsoft SQL Server,2,Full time employee,DBA,No,2,1,Bachelors (4 years),Yes,"No, I never have",40,1,Private business,Middle East,USD15000
6407,6451,19000,Microsoft SQL Server,4,Full time employee,Engineer,No,4,None,Masters,Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Western Europe,USD15000
6472,6517,12600,Microsoft SQL Server,6,Full time employee,DBA,Yes,4,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,1,Government,Eastern Europe,USD15000
6476,6521,19800,Microsoft SQL Server,12,Full time employee,Developer,No,15,1,Associates (2 years),,"Yes, and they're currently valid",3,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
6493,6538,15000,Microsoft SQL Server,3,Full time employee,DBA,Yes,3,None,Masters,Yes,"Yes, and they're currently valid",60,5 or more,Government,Eastern Europe,USD15000
6494,6539,10650,Microsoft SQL Server,1,Full time employee,Developer,No,2,1,Masters,Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
6531,6576,19000,Microsoft SQL Server,2,Full time employee,Developer,Yes,3,1,Associates (2 years),Yes,"No, I never have",43,"None, or less than 1 day per week",Private business,Eastern Europe,USD15000
6541,6586,17500,Microsoft SQL Server,4,Full time employee,DBA,No,4,None,None (no degree completed),,"No, I never have",45,1,Private business,Eastern Europe,USD15000
6545,6590,20000,PostgreSQL,1,Full time employee,Analyst,No,1,1,Bachelors (4 years),No,"No, I never have",40,2,Private business,North America,USD15000
