,id,salaryusd,country,primarydatabase,yearswiththisdatabase,employmentstatus,jobtitle,managestaff,yearswiththistypeofjob,otherpeopleonyourteam,education,educationiscomputerrelated,certifications,hoursworkedperweek,telecommutedaysperweek,employmentsector,region
18,18,200000.0,United States,Microsoft SQL Server,10.0,Full time employee,DBA,No,1.0,2,Bachelors (4 years),No,"Yes, but they expired",65.0,"None, or less than 1 day per week",Private business,North America
19,19,133000.0,United States,Microsoft SQL Server,9.0,Full time employee,DBA,Yes,9.0,None,Associates (2 years),Yes,"Yes, and they're currently valid",40.0,3,Government,North America
20,20,122500.0,United States,Microsoft SQL Server,20.0,Full time employee,DBA,No,1.0,None,None (no degree completed),,"No, I never have",50.0,"None, or less than 1 day per week",Private business,North America
21,21,120000.0,United States,Microsoft SQL Server,7.0,Full time employee,DBA,No,7.0,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",45.0,1,Government,North America
22,22,145000.0,United States,Microsoft SQL Server,5.0,Full time employee,Developer,Yes,5.0,None,Masters,No,"No, I never have",48.0,"None, or less than 1 day per week",Private business,North America
23,23,95000.0,United States,Microsoft SQL Server,20.0,Full time employee,Developer,No,2.0,2,None (no degree completed),,"Yes, but they expired",45.0,4,Private business,North America
24,24,77600.0,United States,Microsoft SQL Server,2.0,Full time employee,Developer,No,3.0,None,Masters,Yes,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
25,25,140000.0,United States,Microsoft SQL Server,16.0,Full time employee,Architect,No,27.0,More than 5,Masters,Yes,"No, I never have",40.0,4,Private business,North America
26,26,138000.0,United States,Microsoft SQL Server,10.0,Full time employee,Architect,No,8.0,1,Masters,No,"Yes, and they're currently valid",45.0,2,Private business,North America
27,27,110000.0,United States,Microsoft SQL Server,15.0,Full time employee,Architect,No,1.0,3,Masters,No,"Yes, but they expired",50.0,1,Private business,North America
28,28,99000.0,United States,Microsoft SQL Server,5.0,Full time employee,Developer,No,1.0,1,Bachelors (4 years),No,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
29,29,90000.0,United States,Microsoft SQL Server,15.0,Full time employee,Engineer,No,15.0,None,Bachelors (4 years),No,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
30,30,175000.0,United States,Microsoft SQL Server,15.0,Full time employee,Developer,Yes,2.0,1,Bachelors (4 years),Yes,"No, I never have",35.0,4,Private business,North America
31,31,113400.0,United States,Microsoft SQL Server,15.0,Full time employee,Developer,Yes,15.0,2,Bachelors (4 years),No,"Yes, but they expired",40.0,5 or more,Private business,North America
32,32,97500.0,United States,Microsoft SQL Server,9.0,Full time employee,DBA,No,5.0,More than 5,Associates (2 years),No,"No, I never have",45.0,2,Private business,North America
33,33,105000.0,United States,Microsoft SQL Server,16.0,Full time employee,DBA,No,6.0,1,Bachelors (4 years),No,"Yes, and they're currently valid",45.0,"None, or less than 1 day per week",Private business,North America
34,34,85000.0,United States,Microsoft SQL Server,3.0,Full time employee,Developer,No,4.0,2,Bachelors (4 years),Yes,"No, I never have",50.0,"None, or less than 1 day per week",Private business,North America
35,35,104000.0,United States,Microsoft SQL Server,13.0,Full time employee,DBA,Yes,12.0,1,Bachelors (4 years),No,"Yes, but they expired",40.0,"None, or less than 1 day per week",Private business,North America
36,36,99000.0,United States,Microsoft SQL Server,6.0,Full time employee,DBA,Yes,2.0,3,Associates (2 years),Yes,"No, I never have",45.0,1,Private business,North America
37,37,98000.0,United States,Microsoft SQL Server,8.0,Full time employee,DBA,No,2.0,4,Bachelors (4 years),Yes,"Yes, and they're currently valid",50.0,5 or more,Private business,North America
38,38,51000.0,United States,Microsoft SQL Server,4.0,Full time employee,DBA,No,2.0,1,None (no degree completed),,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
39,39,98000.0,United States,Microsoft SQL Server,19.0,Full time employee,DBA,Yes,6.0,5,Bachelors (4 years),Yes,"Yes, but they expired",50.0,2,Private business,North America
40,40,116000.0,United States,Microsoft SQL Server,17.0,Full time employee,DBA,Yes,5.0,4,Masters,No,"No, I never have",50.0,5 or more,Private business,North America
41,41,60000.0,United States,Microsoft SQL Server,4.0,Full time employee,DBA,No,4.0,2,Bachelors (4 years),Yes,"No, I never have",46.0,"None, or less than 1 day per week",Private business,North America
42,42,70760.0,United States,Microsoft SQL Server,5.0,Full time employee,Analyst,No,3.0,1,Masters,No,"Yes, but they expired",40.0,2,Private business,North America
43,43,82000.0,United States,Microsoft SQL Server,4.0,Full time employee,Developer,No,10.0,3,Bachelors (4 years),Yes,"No, I never have",45.0,"None, or less than 1 day per week",Private business,North America
44,44,55000.0,United States,Microsoft SQL Server,1.0,Full time employee,DBA,No,1.0,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",40.0,"None, or less than 1 day per week",Private business,North America
45,45,86006.0,United States,Microsoft SQL Server,2.0,Full time employee,Developer,No,2.0,None,None (no degree completed),,"No, I never have",40.0,1,Private business,North America
46,46,107000.0,United States,Microsoft SQL Server,10.0,Full time employee,DBA,No,4.0,5,Masters,No,"No, I never have",45.0,"None, or less than 1 day per week",Government,North America
47,47,94000.0,United States,PostgreSQL,4.0,Full time employee,Engineer,Yes,10.0,3,Associates (2 years),,"Yes, and they're currently valid",45.0,"None, or less than 1 day per week",Private business,North America
48,48,78000.0,United States,Microsoft SQL Server,5.0,Full time employee,DBA,No,5.0,3,Bachelors (4 years),Yes,"No, I never have",42.0,"None, or less than 1 day per week",Private business,North America
49,49,200000.0,United States,Microsoft SQL Server,17.0,Full time employee,DBA,No,14.0,2,None (no degree completed),,"Yes, and they're currently valid",60.0,1,Private business,North America
50,50,120000.0,United States,Microsoft SQL Server,21.0,Full time employee,DBA,No,21.0,None,Bachelors (4 years),No,"Yes, and they're currently valid",45.0,1,Private business,North America
51,51,72000.0,United States,Microsoft SQL Server,7.0,Full time employee,DBA,No,10.0,1,Bachelors (4 years),Yes,"No, I never have",45.0,"None, or less than 1 day per week",Private business,North America
52,52,125000.0,United States,Microsoft SQL Server,16.0,Full time employee,DBA,No,13.0,More than 5,Bachelors (4 years),No,"Yes, but they expired",40.0,3,Private business,North America
53,53,67000.0,United States,Microsoft SQL Server,10.0,Full time employee,Developer,No,5.0,3,Associates (2 years),Yes,"No, I never have",45.0,"None, or less than 1 day per week",Private business,North America
54,54,117000.0,United States,Microsoft SQL Server,16.0,Full time employee,DBA,No,2.0,More than 5,Bachelors (4 years),Yes,"No, I never have",50.0,2,Private business,North America
55,55,85155.0,United States,Microsoft SQL Server,15.0,Full time employee,DBA,No,3.0,None,Bachelors (4 years),Yes,"No, I never have",45.0,"None, or less than 1 day per week",Private business,North America
56,56,141000.0,United States,Microsoft SQL Server,7.0,Full time employee,Engineer,No,10.0,None,Associates (2 years),Yes,"Yes, and they're currently valid",40.0,3,Private business,North America
57,57,95000.0,United States,Microsoft SQL Server,8.0,Full time employee,DBA,No,4.0,2,Masters,Yes,"Yes, but they expired",45.0,2,Government,North America
58,58,121000.0,United States,Microsoft SQL Server,11.0,Full time employee,Architect,No,1.0,3,Masters,Yes,"Yes, and they're currently valid",45.0,2,Private business,North America
59,59,130000.0,United States,Microsoft SQL Server,15.0,Full time employee,DBA,No,20.0,5,Bachelors (4 years),Yes,"No, I never have",41.0,"None, or less than 1 day per week",Private business,North America
60,60,115000.0,United States,Microsoft SQL Server,10.0,Full time employee,DBA,No,10.0,4,None (no degree completed),,"No, I never have",45.0,3,Private business,North America
61,62,64000.0,United States,Microsoft SQL Server,2.0,Full time employee,Analyst,No,1.0,None,Masters,Yes,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
62,63,95000.0,United States,Microsoft SQL Server,7.0,Full time employee,DBA,No,7.0,None,Masters,Yes,"No, I never have",50.0,"None, or less than 1 day per week",Private business,North America
63,64,115000.0,United States,Microsoft SQL Server,20.0,Full time employee,DBA,No,5.0,1,Bachelors (4 years),Yes,"Yes, and they're currently valid",40.0,"None, or less than 1 day per week",Private business,North America
64,65,140000.0,United States,Microsoft SQL Server,11.0,Full time employee,Engineer,No,6.0,2,Bachelors (4 years),No,"Yes, and they're currently valid",55.0,3,Private business,North America
65,66,125000.0,United States,Microsoft SQL Server,20.0,Full time employee,DBA,No,5.0,More than 5,Associates (2 years),No,"Yes, and they're currently valid",40.0,5 or more,Private business,North America
66,67,87000.0,United States,Microsoft SQL Server,18.0,Full time employee,DBA,Yes,5.0,1,Masters,Yes,"Yes, and they're currently valid",40.0,"None, or less than 1 day per week",Private business,North America
67,68,99000.0,United States,Oracle,3.0,Full time employee,Developer,No,3.0,More than 5,Bachelors (4 years),Yes,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
68,69,78000.0,United States,Microsoft SQL Server,4.0,Full time employee,DBA,No,1.0,None,Masters,Yes,"No, I never have",45.0,5 or more,Government,North America
69,70,93000.0,United States,Microsoft SQL Server,7.0,Full time employee,Developer,No,7.0,More than 5,Bachelors (4 years),Yes,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
70,71,115000.0,United States,Microsoft SQL Server,12.0,Full time employee,Developer,No,10.0,1,None (no degree completed),,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
71,72,88000.0,United States,Microsoft SQL Server,8.0,Full time employee,Developer,No,5.0,None,Bachelors (4 years),Yes,"Yes, but they expired",45.0,5 or more,Private business,North America
72,73,72000.0,United States,Microsoft SQL Server,5.0,Full time employee,DBA,No,3.0,None,Masters,Yes,"No, I never have",45.0,"None, or less than 1 day per week",Government,North America
73,74,99000.0,United States,Microsoft SQL Server,15.0,Full time employee,Developer,Yes,10.0,None,Bachelors (4 years),Yes,"No, I never have",55.0,1,Private business,North America
74,75,85000.0,United States,Microsoft SQL Server,14.0,Full time employee,Manager,Yes,2.0,None,Bachelors (4 years),Yes,"No, I never have",45.0,"None, or less than 1 day per week",Private business,North America
75,76,72000.0,United States,Microsoft SQL Server,3.0,Full time employee,DBA,No,1.0,5,Bachelors (4 years),Yes,"No, I never have",50.0,"None, or less than 1 day per week",Private business,North America
76,77,95000.0,United States,Microsoft SQL Server,7.0,Full time employee,Developer,No,1.0,More than 5,Bachelors (4 years),Yes,"Yes, but they expired",40.0,5 or more,Private business,North America
77,78,70000.0,United States,Microsoft SQL Server,3.0,Full time employee,Engineer,No,3.0,1,Bachelors (4 years),Yes,"No, I never have",45.0,1,Private business,North America
78,79,88130.0,United States,Microsoft SQL Server,6.0,Full time employee,Developer,No,5.0,None,Bachelors (4 years),No,"Yes, and they're currently valid",50.0,"None, or less than 1 day per week",Private business,North America
79,80,85000.0,United States,Microsoft SQL Server,13.0,Full time employee,DBA,Yes,5.0,None,None (no degree completed),,"Yes, and they're currently valid",40.0,"None, or less than 1 day per week",Government,North America
80,81,95000.0,United States,Microsoft SQL Server,15.0,Full time employee,Architect,Yes,15.0,2,Masters,Yes,"Yes, and they're currently valid",40.0,"None, or less than 1 day per week",Private business,North America
81,82,82000.0,United States,Microsoft SQL Server,3.0,Full time employee,Analyst,No,8.0,More than 5,Bachelors (4 years),Yes,"No, I never have",40.0,"None, or less than 1 day per week",Government,North America
82,83,91000.0,United States,Microsoft SQL Server,5.0,Full time employee,DBA,No,2.0,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",50.0,"None, or less than 1 day per week",Private business,North America
83,84,96000.0,United States,Microsoft SQL Server,10.0,Full time employee,DBA,Yes,10.0,2,Bachelors (4 years),Yes,"No, I never have",40.0,"None, or less than 1 day per week",Government,North America
84,85,113000.0,United States,Microsoft SQL Server,18.0,Full time employee,Engineer,No,18.0,2,Bachelors (4 years),Yes,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
85,86,105000.0,United States,Microsoft SQL Server,15.0,Full time employee,DBA,No,3.0,2,Bachelors (4 years),Yes,"Yes, but they expired",40.0,"None, or less than 1 day per week",Private business,North America
86,87,125000.0,United States,Microsoft SQL Server,15.0,Full time employee,DBA,No,1.0,2,Bachelors (4 years),Yes,"No, I never have",38.0,"None, or less than 1 day per week",Private business,North America
87,88,130000.0,United States,Microsoft SQL Server,20.0,Full time employee,DBA,No,20.0,More than 5,Associates (2 years),No,"No, I never have",50.0,2,Private business,North America
88,89,105000.0,United States,Microsoft SQL Server,15.0,Full time employee,DBA,Yes,15.0,3,Masters,Yes,"Yes, and they're currently valid",50.0,"None, or less than 1 day per week",Private business,North America
89,90,57000.0,United States,Microsoft SQL Server,1.0,Full time employee,DBA,No,1.0,2,Bachelors (4 years),No,"No, I never have",40.0,1,Private business,North America
90,91,90000.0,United States,Microsoft SQL Server,5.0,Full time employee,DBA,No,2.0,2,None (no degree completed),,"No, I never have",40.0,4,Private business,North America
91,92,63000.0,United States,Microsoft SQL Server,2.0,Full time employee,DBA,No,2.0,None,Associates (2 years),Yes,"No, I never have",40.0,"None, or less than 1 day per week",Government,North America
92,93,115000.0,United States,Microsoft SQL Server,6.0,Full time employee,Manager,Yes,3.0,2,None (no degree completed),,"No, I never have",50.0,2,Private business,North America
93,95,157000.0,United States,Microsoft SQL Server,11.0,Full time employee,Developer,No,2.0,1,Bachelors (4 years),No,"Yes, but they expired",40.0,"None, or less than 1 day per week",Private business,North America
94,96,48000.0,United States,Microsoft SQL Server,4.0,Full time employee,DBA,Yes,2.0,None,Bachelors (4 years),Yes,"Yes, but they expired",45.0,"None, or less than 1 day per week",Private business,North America
95,97,117832.0,United States,Microsoft SQL Server,17.0,Full time employee,Developer,No,3.0,None,Bachelors (4 years),No,"No, I never have",40.0,5 or more,Government,North America
96,98,105000.0,United States,Microsoft SQL Server,10.0,Full time employee,DBA,No,4.0,None,Bachelors (4 years),Yes,"No, I never have",50.0,1,Private business,North America
97,99,80000.0,United States,Microsoft SQL Server,6.0,Full time employee,DBA,No,4.0,None,Associates (2 years),Yes,"Yes, but they expired",40.0,"None, or less than 1 day per week",Private business,North America
98,100,147000.0,United States,Microsoft SQL Server,18.0,Full time employee,Architect,Yes,5.0,None,None (no degree completed),,"Yes, but they expired",32.0,5 or more,Private business,North America
99,101,125000.0,United States,Microsoft SQL Server,18.0,Full time employee,DBA,Yes,10.0,1,None (no degree completed),,"Yes, but they expired",55.0,1,Private business,North America
100,102,115000.0,United States,Microsoft SQL Server,10.0,Full time employee,DBA,No,10.0,More than 5,Masters,Yes,"Yes, and they're currently valid",40.0,1,Private business,North America
101,103,130000.0,United States,PostgreSQL,1.0,Full time employee,DBA,No,25.0,None,Bachelors (4 years),Yes,"No, I never have",42.0,"None, or less than 1 day per week",Private business,North America
102,104,98000.0,United States,Microsoft SQL Server,16.0,Full time employee,DBA,No,5.0,None,Masters,No,"No, I never have",40.0,"None, or less than 1 day per week",Government,North America
103,105,100000.0,United States,Microsoft SQL Server,8.0,Full time employee,DBA,No,1.0,None,Masters,No,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
104,106,65000.0,United States,Microsoft SQL Server,7.0,Full time employee,DBA,No,7.0,None,Bachelors (4 years),Yes,"No, I never have",40.0,1,Private business,North America
105,107,104000.0,United States,Microsoft SQL Server,16.0,Full time employee,DBA,No,10.0,None,Masters,No,"Yes, but they expired",40.0,"None, or less than 1 day per week",Private business,North America
106,108,90000.0,United States,Microsoft SQL Server,7.0,Full time employee,DBA,No,3.0,None,Bachelors (4 years),Yes,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
107,109,138500.0,United States,Microsoft SQL Server,9.0,Full time employee,Architect,Yes,6.0,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",45.0,"None, or less than 1 day per week",Private business,North America
108,110,120000.0,United States,Microsoft SQL Server,17.0,Full time employee,Developer,No,17.0,1,None (no degree completed),,"No, I never have",40.0,5 or more,Private business,North America
109,111,132725.0,United States,Microsoft SQL Server,10.0,Full time employee,Analyst,No,10.0,None,Bachelors (4 years),Yes,"Yes, but they expired",50.0,"None, or less than 1 day per week",Private business,North America
110,112,63500.0,United States,Microsoft SQL Server,2.0,Full time employee,Analyst,No,1.0,1,Doctorate/PhD,No,"No, I never have",37.0,"None, or less than 1 day per week",Government,North America
111,113,75000.0,United States,Microsoft SQL Server,4.0,Full time employee,DBA,No,1.0,None,Bachelors (4 years),Yes,"Yes, but they expired",36.0,"None, or less than 1 day per week",Private business,North America
112,114,96000.0,United States,Microsoft SQL Server,10.0,Full time employee,DBA,No,2.0,2,Bachelors (4 years),No,"Yes, but they expired",55.0,1,Private business,North America
113,115,130000.0,United States,Microsoft SQL Server,15.0,Full time employee,DBA,No,13.0,1,Masters,Yes,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
114,116,115000.0,United States,Microsoft SQL Server,21.0,Full time employee,Architect,No,2.0,2,Bachelors (4 years),No,"Yes, but they expired",45.0,5 or more,Private business,North America
115,117,62000.0,United States,Microsoft SQL Server,5.0,Full time employee,Developer,No,1.0,None,Bachelors (4 years),Yes,"Yes, but they expired",40.0,"None, or less than 1 day per week",Government,North America
116,118,165000.0,United States,Microsoft SQL Server,16.0,Full time employee,DBA,No,3.0,4,None (no degree completed),,"Yes, and they're currently valid",60.0,2,Private business,North America
117,119,93000.0,United States,Microsoft SQL Server,10.0,Full time employee,Developer,Yes,5.0,None,Masters,Yes,"Yes, and they're currently valid",40.0,"None, or less than 1 day per week",Private business,North America
118,120,97000.0,United States,Microsoft SQL Server,7.0,Full time employee,Manager,Yes,5.0,None,None (no degree completed),,"Yes, and they're currently valid",50.0,"None, or less than 1 day per week",Private business,North America
119,121,85000.0,United States,Microsoft SQL Server,4.0,Full time employee,DBA,No,4.0,2,Bachelors (4 years),Yes,"No, I never have",50.0,"None, or less than 1 day per week",Private business,North America
120,122,111000.0,United States,Microsoft SQL Server,6.0,Full time employee,Developer,No,12.0,1,Bachelors (4 years),Yes,"Yes, but they expired",45.0,"None, or less than 1 day per week",Private business,North America
121,123,134000.0,United States,Microsoft SQL Server,16.0,Full time employee,DBA,Yes,5.0,2,Masters,No,"Yes, but they expired",40.0,5 or more,Private business,North America
122,124,100000.0,United States,Microsoft SQL Server,12.0,Full time employee,Developer,No,4.0,4,Bachelors (4 years),No,"No, I never have",50.0,3,Private business,North America
123,125,122000.0,United States,Microsoft SQL Server,6.0,Full time employee,DBA,Yes,6.0,1,Bachelors (4 years),Yes,"Yes, and they're currently valid",50.0,"None, or less than 1 day per week",Private business,North America
124,126,46000.0,United States,Microsoft SQL Server,4.0,Full time employee,Analyst,Yes,4.0,None,Bachelors (4 years),No,"No, I never have",48.0,4,Private business,North America
125,127,103110.0,United States,Microsoft SQL Server,8.0,Full time employee,DBA,No,4.0,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",40.0,"None, or less than 1 day per week",Government,North America
126,128,92000.0,United States,Microsoft SQL Server,9.0,Full time employee,Engineer,No,5.0,None,Bachelors (4 years),Yes,"No, I never have",42.0,"None, or less than 1 day per week",Private business,North America
127,129,112500.0,United States,Microsoft SQL Server,7.0,Full time employee,Developer,No,10.0,More than 5,Bachelors (4 years),Yes,"Yes, and they're currently valid",48.0,"None, or less than 1 day per week",Private business,North America
128,130,120000.0,United States,Microsoft SQL Server,12.0,Full time employee,DBA,No,3.0,3,Associates (2 years),Yes,"Yes, and they're currently valid",50.0,"None, or less than 1 day per week",Private business,North America
129,131,12300.0,United States,Microsoft SQL Server,16.0,Full time employee,DBA,No,4.0,None,Associates (2 years),No,"No, I never have",37.0,1,Private business,North America
130,132,100000.0,United States,Microsoft SQL Server,6.0,Full time employee,DBA,No,6.0,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",40.0,"None, or less than 1 day per week",Private business,North America
131,133,120000.0,United States,Microsoft SQL Server,16.0,Full time employee,DBA,No,10.0,4,Bachelors (4 years),Yes,"Yes, but they expired",40.0,4,Private business,North America
132,134,120000.0,United States,Microsoft SQL Server,16.0,Full time employee,DBA,No,1.0,3,Bachelors (4 years),Yes,"Yes, but they expired",40.0,1,Private business,North America
133,135,120000.0,United States,Microsoft SQL Server,12.0,Full time employee,Developer,Yes,9.0,3,Bachelors (4 years),No,"Yes, and they're currently valid",40.0,5 or more,Private business,North America
134,136,90000.0,United States,Microsoft SQL Server,5.0,Full time employee,DBA,Yes,3.0,None,Masters,Yes,"Yes, but they expired",40.0,"None, or less than 1 day per week",Private business,North America
135,137,118000.0,United States,Oracle,8.0,Full time employee,Architect,Yes,2.0,None,Masters,Yes,"No, I never have",50.0,2,Private business,North America
136,138,96000.0,United States,Microsoft SQL Server,7.0,Full time employee,DBA,No,5.0,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",40.0,"None, or less than 1 day per week",Private business,North America
137,139,67000.0,United States,Microsoft SQL Server,7.0,Full time employee,Developer,Yes,6.0,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",40.0,2,Private business,North America
138,140,110000.0,United States,Azure SQL DB,9.0,Full time employee,DBA,No,7.0,None,Bachelors (4 years),No,"Yes, and they're currently valid",40.0,"None, or less than 1 day per week",Private business,North America
139,141,80000.0,United States,Microsoft SQL Server,10.0,Full time employee,DBA,No,7.0,None,Bachelors (4 years),No,"No, I never have",40.0,"None, or less than 1 day per week",Government,North America
140,142,110000.0,United States,Microsoft SQL Server,15.0,Full time employee,DBA,No,7.0,1,Bachelors (4 years),Yes,"No, I never have",50.0,"None, or less than 1 day per week",Private business,North America
141,143,53000.0,United States,Oracle,3.0,Full time employee,Analyst,No,2.0,4,Masters,No,"No, I never have",40.0,"None, or less than 1 day per week",Government,North America
142,144,123300.0,United States,Microsoft SQL Server,10.0,Full time employee,DBA,Yes,3.0,1,Bachelors (4 years),Yes,"No, I never have",80.0,"None, or less than 1 day per week",Private business,North America
143,145,180000.0,United States,Microsoft SQL Server,10.0,Full time employee,DBA,No,10.0,None,Bachelors (4 years),Yes,"No, I never have",40.0,"None, or less than 1 day per week",Government,North America
144,146,130000.0,United States,Microsoft SQL Server,10.0,Full time employee,Architect,No,2.0,None,None (no degree completed),,"No, I never have",45.0,"None, or less than 1 day per week",Private business,North America
145,147,95000.0,United States,Microsoft SQL Server,3.0,Full time employee,DBA,No,3.0,1,Bachelors (4 years),Yes,"No, I never have",40.0,1,Private business,North America
146,148,113000.0,United States,Microsoft SQL Server,12.0,Full time employee,Developer,No,2.0,More than 5,Bachelors (4 years),Yes,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
147,149,50750.0,United States,Microsoft SQL Server,7.0,Full time employee,Developer,No,7.0,1,Associates (2 years),Yes,"Yes, but they expired",40.0,"None, or less than 1 day per week",Private business,North America
148,150,80000.0,United States,Microsoft SQL Server,6.0,Full time employee,DBA,No,2.0,2,Bachelors (4 years),Yes,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
149,151,97500.0,United States,Microsoft SQL Server,7.0,Full time employee,DBA,No,8.0,None,None (no degree completed),,"Yes, and they're currently valid",46.0,2,Private business,North America
150,152,115000.0,United States,Microsoft SQL Server,20.0,Full time employee,DBA,No,20.0,None,None (no degree completed),,"Yes, but they expired",40.0,1,Government,North America
151,153,90000.0,United States,Microsoft SQL Server,7.0,Full time employee,DBA,Yes,4.0,2,Bachelors (4 years),Yes,"No, I never have",60.0,"None, or less than 1 day per week",Private business,North America
152,154,91800.0,United States,Microsoft SQL Server,3.0,Full time employee,DBA,Yes,4.0,None,Bachelors (4 years),Yes,"No, I never have",50.0,1,Private business,North America
153,155,93000.0,United States,Microsoft SQL Server,8.0,Full time employee,Developer,No,9.0,1,Associates (2 years),Yes,"Yes, and they're currently valid",43.0,"None, or less than 1 day per week",Private business,North America
154,156,225000.0,United States,Microsoft SQL Server,9.0,Independent Consultant/Freelancer,Architect,No,5.0,None,Masters,Yes,"Yes, and they're currently valid",60.0,5 or more,Private business,North America
155,157,94000.0,United States,Microsoft SQL Server,18.0,Full time employee,DBA,Yes,15.0,More than 5,Bachelors (4 years),No,"Yes, but they expired",55.0,"None, or less than 1 day per week",Private business,North America
156,158,65000.0,United States,Microsoft SQL Server,2.0,Full time employee,DBA,No,1.0,1,Bachelors (4 years),No,"Yes, and they're currently valid",40.0,"None, or less than 1 day per week",Private business,North America
157,159,90000.0,United States,Microsoft SQL Server,15.0,Full time employee,Developer,No,20.0,2,None (no degree completed),,"Yes, but they expired",40.0,"None, or less than 1 day per week",Private business,North America
158,160,105000.0,United States,Microsoft SQL Server,10.0,Full time employee,Engineer,No,4.0,4,Bachelors (4 years),Yes,"Yes, and they're currently valid",40.0,1,Private business,North America
159,161,83599.0,United States,Microsoft SQL Server,15.0,Full time employee,Developer,No,11.0,None,Bachelors (4 years),Yes,"Yes, but they expired",40.0,2,Private business,North America
